dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.05,xyz,seed_median_curve_first,marker_first,32,-0.19347582492375745,-0.3794714167840979,-0.034183382118133626,0.8125,12,-0.188125626775892,-0.33349848904458146,-0.09203475771544589,0.9166666666666666,8,-0.1328820779929773,0.875,True
0.05,xyz,seed_median_curve_isotonic,curve_first,32,-0.1599891713872602,-0.3046376151362112,-0.011078661241731985,0.84375,12,-0.1699656439297087,-0.28217525641985874,-0.11570560994374471,0.9166666666666666,8,-0.15143100452495883,0.875,True
0.05,xyz,seed_median_curve_isotonic,marker_first,32,-0.12488618711288463,-0.2724699191103954,-0.03446029619418284,0.8125,12,-0.16798666759880956,-0.2268531656653402,-0.07881391267041223,0.9166666666666666,8,-0.12942901839979337,0.875,True
0.05,xyz,seed_median_curve_persistent,curve_first,32,-0.15549975563404989,-0.29827865015020466,-0.011645288341417842,0.84375,12,-0.14819558748049505,-0.2344329388451909,-0.10379742070690556,0.9166666666666666,8,-0.1469929002209236,0.875,True
0.05,xyz,seed_median_curve_persistent,marker_first,32,-0.0943658067934166,-0.25079896482809816,-0.034183382118133626,0.8125,12,-0.11345429559328091,-0.1957889945083401,-0.07680103162172597,0.9166666666666666,8,-0.10109466982784587,0.875,True
0.05,z,median_seed_isotonic,curve_first,32,-0.17047378400080332,-0.3229866764396463,0.02923019062359475,0.6875,12,-0.22833975500376458,-0.27313023919494367,-0.10476625264210102,0.8333333333333334,8,-0.16640270427820603,0.625,True
0.05,z,median_seed_isotonic,marker_first,32,-0.18327959521478782,-0.36769361719226323,0.03646802207679563,0.71875,12,-0.21940029545066264,-0.3003232123520859,-0.0875191165978767,0.75,8,-0.16047259867183256,0.625,True
0.05,z,q25_seed_isotonic,curve_first,32,-0.19876090721191322,-0.34689563184796457,0.019937019791464797,0.71875,12,-0.25430477003636054,-0.2933716586661005,-0.11350203758227784,0.8333333333333334,8,-0.1777089833908058,0.75,True
0.05,z,q25_seed_isotonic,marker_first,32,-0.2613327614454093,-0.4116059738093218,-0.06738178496724961,0.78125,12,-0.28063339057059633,-0.3597704347301559,-0.16692339529597877,0.9166666666666666,8,-0.18677648739832048,0.875,True
0.05,z,q75_seed_isotonic,curve_first,32,-0.14810299578311764,-0.25743286558915657,0.03016005063975953,0.6875,12,-0.13841172577842775,-0.22962286597127435,-0.07725416850552455,0.8333333333333334,8,-0.13302767791661962,0.625,True
0.05,z,q75_seed_isotonic,marker_first,32,-0.0857040628854826,-0.25960417505697364,0.06209042413538515,0.71875,12,-0.09619960548862573,-0.20204175389704535,-0.0471073367495313,0.75,8,-0.10013815202934866,0.625,False
0.05,z,seed_median_curve_first,curve_first,32,-0.1662567211116058,-0.3281633776531841,0.029381368695419116,0.6875,12,-0.22301222689779537,-0.2657036952581669,-0.10472381229989144,0.8333333333333334,8,-0.1667828658861466,0.625,True
0.05,z,seed_median_curve_first,marker_first,32,-0.24198101675151165,-0.3811301069541513,-0.05058914421646021,0.75,12,-0.271703307356571,-0.349599233676072,-0.15799466113526234,0.8333333333333334,8,-0.16437447757670448,0.875,True
0.05,z,seed_median_curve_isotonic,curve_first,32,-0.16638254917190828,-0.3195136247814464,0.029381368695419116,0.6875,12,-0.2230751409279466,-0.24954394500380053,-0.1048350495755187,0.8333333333333334,8,-0.1667828658861466,0.625,True
0.05,z,seed_median_curve_isotonic,marker_first,32,-0.1624298837362524,-0.3469924251357561,0.03113207317264345,0.71875,12,-0.21559413640540065,-0.2829994340688551,-0.08676620706985602,0.75,8,-0.1627697468683552,0.625,True
0.05,z,seed_median_curve_persistent,curve_first,32,-0.1662567211116058,-0.3139439660858798,0.029381368695419116,0.6875,12,-0.22086702614093054,-0.24570941243460964,-0.10472381229989144,0.8333333333333334,8,-0.1667828658861466,0.625,True
0.05,z,seed_median_curve_persistent,marker_first,32,-0.14654052654193883,-0.3108743854037549,0.03113207317264345,0.71875,12,-0.20578146191072352,-0.28380339584390313,-0.07676212897215437,0.75,8,-0.16437447757670448,0.625,True
